Tot_ID,Loc,Date,Mo,QTR,I D,Sex,Age,Mass,FA,MFA,BCS,PregY,LactY,PupY,SeroPos,LUM,PCRPos,CHIP,CHIPY
265,FA,1-Apr-08,4,4,3_64,F,A,700,163,4.29,G,Y,Y,N,N,142,0,104076335,1
266,FA,1-Apr-08,4,4,3_65,M,A,788,176,4.48,G,NA,NA,NA,Y,3460,0,104072065,1
267,FA,1-Apr-08,4,4,3_66,M,A,636,164,3.88,F,NA,NA,NA,Y,1391,0,104056602,1
268,FA,1-Apr-08,4,4,3_67,F,A,612,173,3.54,F,N,Y,Y,Y,10402,0,104086315,1
269,FA,1-Apr-08,4,4,3_68,M,P,96,82,1.17,G,NA,NA,NA,NA,NA,0,103817807,1
270,FA,1-Apr-08,4,4,3_69,M,A,792,165,4.8,G,NA,NA,NA,N,11217,0,104091777,1
271,FA,1-Apr-08,4,4,3_70,M,A,626,168,3.73,F,NA,NA,NA,N,74,0,103828339,1
272,FA,1-Apr-08,4,4,3_71,M,A,736,177,4.16,G,NA,NA,NA,N,120,0,103818588,1
273,FA,1-Apr-08,4,4,3_72,F,A,565,170,3.32,G,Y,Y,N,N,72,0,103821296,1
274,FA,1-Apr-08,4,4,3_73,F,A,568,169,3.36,F,N,Y,Y,Y,126,0,104062770,1
275,FA,1-Apr-08,4,4,3_74,F,P,76,70,1.09,G,NA,NA,NA,Y,6079,0,103799041,1
276,FA,1-Apr-08,4,4,3_75,M,A,704,171,4.12,G,NA,NA,NA,NA,NA,0,103822080,1
277,FA,1-Apr-08,4,4,3_76,M,A,818,180,4.54,G,NA,NA,NA,N,11868,0,103819589,1
278,FA,1-Apr-08,4,4,3_77,M,A,720,167,4.31,F,NA,NA,NA,N,746,0,104081520,1
279,FA,1-Apr-08,4,4,3_78,F,J,506,156,3.24,G,NA,NA,NA,N,75,0,104073631,1
280,FA,1-Apr-08,4,4,3_79,M,A,732,172,4.26,F,NA,NA,NA,N,367,0,103807092,1
281,FA,1-Apr-08,4,4,3_80,M,A,636,175,3.63,G,NA,NA,NA,Y,81,0,104075338,1
282,FA,1-Apr-08,4,4,3_81,M,A,896,189,4.74,F,NA,NA,NA,Y,5565,0,103810773,1
283,FA,1-Apr-08,4,4,3_82,M,A,762,171,4.46,F,NA,NA,NA,N,1231,0,104074854,1
284,FA,1-Apr-08,4,4,3_83,F,A,612,168,3.64,G,N,Y,Y,Y,184,0,103820572,1
285,FA,1-Apr-08,4,4,3_84,M,P,124,70,1.77,G,NA,NA,NA,Y,8428,0,104071616,1
286,FA,1-Apr-08,4,4,3_85,M,A,842,170,4.95,G,NA,NA,NA,NA,NA,0,103798627,1
287,FA,1-Apr-08,4,4,3_86,M,A,764,175,4.37,F,NA,NA,NA,N,9909,0,103812813,1
288,FA,1-Apr-08,4,4,3_87,F,A,508,162,3.14,F,N,N,N,N,110,0,103821120,1
289,FA,1-Apr-08,4,4,3_88,F,A,484,158,3.06,F,N,N,N,N,125,0,104066608,1
290,FA,1-Apr-08,4,4,3_89,F,A,696,169,4.12,G,Y,Y,N,N,379,0,103810825,1
291,FA,1-Apr-08,4,4,3_90,F,A,628,160,3.93,F,N,Y,Y,N,101,0,103821340,1
292,FA,1-Apr-08,4,4,3_91,F,P,90,86,1.05,G,NA,NA,NA,Y,90,0,103828828,1
293,FA,1-Apr-08,4,4,3_92,F,A,726,175,4.15,F,Y,Y,N,NA,NA,0,103802517,1
294,FA,1-Apr-08,4,4,3_93,M,A,718,165,4.35,G,NA,NA,NA,Y,3682,0,104078275,1
295,FA,1-Apr-08,4,4,3_94,M,A,732,175,4.18,F,NA,NA,NA,Y,24128,0,103810829,1
296,FA,1-Apr-08,4,4,3_95,M,A,690,165,4.18,G,NA,NA,NA,Y,1185,0,80825550,1
297,FA,1-Apr-08,4,4,3_96,F,J,410,152,2.7,F,NA,NA,NA,N,23939,0,103802268,1
298,FA,1-Apr-08,4,4,3_97,F,A,580,162,3.58,F,N,Y,Y,N,102,0,104060021,1
299,FA,1-Apr-08,4,4,3_98,M,A,780,174,4.48,G,NA,NA,NA,Y,526,0,104061842,1
300,FA,1-Apr-08,4,4,3_99,F,A,652,164,3.98,F,N,Y,Y,N,16016,0,104082829,1
301,FA,1-Apr-08,4,4,3_100,F,A,792,176,4.5,G,N,Y,Y,Y,488,0,103806004,1
302,FA,1-Jul-08,7,3,4_01,F,A,594,170,3.49,G,N,Y,N,Y,25201,0,104058261,1
303,FA,1-Jul-08,7,3,4_02,M,J,328,135,2.43,F,NA,NA,NA,N,89,0,103821352,1
304,FA,1-Jul-08,7,3,4_03,M,J,340,140,2.43,G,NA,NA,NA,Y,7546,0,103811298,1
305,FA,1-Jul-08,7,3,4_04,F,A,572,163,3.51,G,N,Y,N,Y,25110,0,104068824,1
306,FA,1-Jul-08,7,3,4_05,M,J,378,143,2.64,G,NA,NA,NA,Y,12811,0,103822361,1
307,FA,1-Jul-08,7,3,4_06,M,J,354,140,2.53,G,NA,NA,NA,Y,7597,0,103813013,1
308,FA,1-Jul-08,7,3,4_07,F,J,344,140,2.46,G,NA,NA,NA,Y,25229,0,104090329,1
309,FA,1-Jul-08,7,3,4_08,M,J,320,133,2.41,F,NA,NA,NA,N,767,0,103801108,1
310,FA,1-Jul-08,7,3,4_09,M,J,318,139,2.29,F,NA,NA,NA,N,113,0,103805040,1
311,FA,1-Jul-08,7,3,4_10,M,J,346,140,2.47,F,NA,NA,NA,N,80,0,103819840,1
312,FA,1-Jul-08,7,3,4_11,M,A,874,172,5.08,G,NA,NA,NA,Y,1796,0,103810866,1
313,FA,1-Jul-08,7,3,4_12,M,A,882,162,5.44,G,NA,NA,NA,Y,5648,0,103801513,1
314,FA,1-Jul-08,7,3,4_13,M,A,860,167,5.15,F,NA,NA,NA,Y,22984,0,104077351,1
315,FA,1-Jul-08,7,3,4_14,M,A,738,155,4.76,F,NA,NA,NA,Y,6103,0,103821536,1
316,FA,1-Jul-08,7,3,4_15,M,A,818,164,4.99,F,NA,NA,NA,Y,25673,0,104059378,1
317,FA,1-Jul-08,7,3,4_16,M,A,778,165,4.72,G,NA,NA,NA,Y,6401,0,103818378,1
318,FA,1-Jul-08,7,3,4_17,M,A,950,169,5.62,F,NA,NA,NA,N,928,0,104080022,1
319,FA,1-Jul-08,7,3,4_18,M,A,886,169,5.24,G,NA,NA,NA,N,209,0,103820376,1
320,FA,1-Jul-08,7,3,4_19,M,A,904,179,5.05,G,NA,NA,NA,Y,14153,0,104059286,1
321,FA,1-Jul-08,7,3,4_20,M,A,826,166,4.98,F,NA,NA,NA,Y,23990,0,104073037,1
322,FA,1-Jul-08,7,3,4_21,M,A,840,170,4.94,F,NA,NA,NA,Y,24888,0,104066055,1
323,FA,1-Jul-08,7,3,4_22,M,A,1010,175,5.77,G,NA,NA,NA,Y,22619,0,99602847,1
324,FA,1-Jul-08,7,3,4_23,M,A,856,172,4.98,F,NA,NA,NA,Y,25368,0,103801096,1
325,FA,1-Jul-08,7,3,4_24,M,A,810,162,5,F,NA,NA,NA,Y,1748,0,103821341,1
326,FA,1-Jul-08,7,3,4_25,M,A,658,162,4.06,F,NA,NA,NA,N,175,0,17020803,1
327,FA,1-Jul-08,7,3,4_26,M,A,814,172,4.73,F,NA,NA,NA,N,607,0,103824023,1
328,FA,1-Jul-08,7,3,4_27,M,A,802,166,4.83,G,NA,NA,NA,N,161,0,99612807,1
329,FA,1-Jul-08,7,3,4_28,M,A,864,171,5.05,G,NA,NA,NA,Y,23798,0,104074534,1
330,FA,1-Jul-08,7,3,4_29,M,A,898,172,5.22,G,NA,NA,NA,Y,1079,0,104060006,1
331,FA,1-Jul-08,7,3,4_30,M,J,290,137,2.12,F,NA,NA,NA,N,129,0,17070885,1
332,FA,1-Jul-08,7,3,4_31,F,J,314,132,2.38,F,NA,NA,NA,Y,23144,0,17019529,1
333,FA,1-Jul-08,7,3,4_32,M,J,304,134,2.27,F,NA,NA,NA,Y,11561,0,17034637,1
334,FA,1-Jul-08,7,3,4_33,F,A,666,175,3.81,F,N,Y,N,N,77,0,17035584,1
335,FA,1-Jul-08,7,3,4_34,F,A,558,146,3.82,G,N,Y,N,N,81,0,17038797,1
336,FA,1-Jul-08,7,3,4_35,F,A,558,158,3.53,F,N,Y,N,Y,25018,0,17073064,1
337,FA,1-Jul-08,7,3,4_36,M,J,364,150,2.43,F,NA,NA,NA,Y,5006,0,17044268,1
338,FA,1-Jul-08,7,3,4_37,M,J,202,131,1.54,F,NA,NA,NA,Y,12605,0,17069319,1
339,FA,1-Jul-08,7,3,4_38,F,J,178,130,1.37,F,NA,NA,NA,Y,18225,0,17057340,1
340,FA,1-Jul-08,7,3,4_39,F,A,349,140,2.49,F,N,N,N,Y,2601,0,17070849,1
341,FA,1-Jul-08,7,3,4_40,M,A,1025,178,5.76,G,NA,NA,NA,Y,13061,0,17009261,1
342,FA,1-Jul-08,7,3,4_41,F,J,314,131,2.4,F,NA,NA,NA,N,132,0,17069861,1
